before,after
Acute and unspecified renal failure,Acute Renal
Acute cerebrovascular disease,Cerebrovascular
Acute myocardial infarction,Myocardial
Cardiac dysrhythmias,Dysrhythmias
Chronic kidney disease,Chronic Kidney
Chronic obstructive pulmonary disease and bronchiectasis,COPD
Complications of surgical procedures or medical care,Comp. Surgical
Conduction disorders,Conduction
Congestive heart failure; nonhypertensive,Heart Failure
Coronary atherosclerosis and other heart disease,Atherosclerosis
Diabetes mellitus with complications,Diabetes Comp
Diabetes mellitus without complication,Diabetes No Comp
Disorders of lipid metabolism,Lipid Metabolism
Essential hypertension,Hypertension
Fluid and electrolyte disorders,Fluid Disorder
Gastrointestinal hemorrhage,GI Hemorrhage
Hypertension with complications and secondary hypertension,Hypertension Comp
Other liver diseases,Other Liver
Other lower respiratory disease,Lower Resp
Other upper respiratory disease,Upper Resp
Pleurisy; pneumothorax; pulmonary collapse,Pleurisy
Pneumonia (except that caused by tuberculosis or sexually transmitted disease),Pneumonia
Respiratory failure; insufficiency; arrest (adult),Resp Failure
Septicemia (except in labor),Septicemia
Shock,Shock
any acute,Any Acute
any chronic,Any Chronic
